,0,1,2,3,4
149,1150.8987695887172,1030.254490168977,955.7452873761364,861.9073059588471,946.3062232720192
150,1150.8935063285764,1030.2449671617153,955.7315156655997,861.8858532390954,946.29154379185
151,1150.8886494858054,1030.2360971503138,955.7186109824221,861.8656454974504,946.2777634240215
152,1150.884169967693,1030.2278362860825,955.7065179263227,861.8466073267765,946.2648256282775
153,1150.880040872781,1030.220143872113,955.6951849277839,861.82866829858,946.2526777261455
154,1150.8762373120696,1030.212982116451,955.6845639586245,861.8117626042308,946.2412706124534
155,1150.8727362460781,1030.2063159062939,955.6746102663278,861.7958287240614,946.230558490243
156,1150.8695163362422,1030.2001126012874,955.6652821300307,861.7808091220572,946.220498627047
157,1150.8665578092832,1030.1943418441726,955.6565406362744,861.7666499640368,946.2110511306807
158,1150.8638423333234,1030.1889753872067,955.6483494727971,861.7533008574055,946.2021787428714
159,1150.8613529046459,1030.1839869329467,955.6406747388039,861.7407146107247,946.1938466492002
160,1150.8590737441095,1030.1793519881005,955.6334847702951,861.728847011487,946.1860223039672
161,1150.8569902023285,1030.1750477292933,955.6267499791658,861.7176566206238,946.1786752687182
162,1150.855088672812,1030.1710528796937,955.6204427049005,861.7071045823996,946.1717770632847
163,1150.8533565123423,1030.1673475955522,955.6145370778053,861.6971544484584,946.1653010282911
164,1150.85178196794,1030.1639133617873,955.6090088928008,861.6877720148896,946.1592221981739
165,1150.8503541098219,1030.16073289584,955.6038354929,861.6789251712817,946.1535171838483
166,1150.849062769825,1030.1577900590878,955.5989956615624,861.6705837608157,946.1481640642274
167,1150.8478984848111,1030.1550697751734,955.5944695231984,861.6627194505261,946.1431422858734
168,1150.8468524446182,1030.1525579546671,955.5902384511526,861.655305610939,946.1384325701197
169,1150.845916444161,1030.1502414255262,955.5862849825586,861.6483172043513,946.1340168270644
170,1150.845082839327,1030.1481078688732,955.5825927395101,861.6417306810877,946.1298780758844
171,1150.8443445063392,1030.1461457596488,955.5791463560412,861.6355238831156,946.1260003709641
172,1150.8436948042936,1030.144344311741,955.5759314104515,861.6296759544585,946.1223687333851
173,1150.8431275406015,1030.1426934272256,955.5729343625536,861.6241672578868,946.1189690873493
174,1150.8426369390963,1030.1411836493824,955.5701424954535,861.6189792974134,946.1157882011563
175,1150.8422176105794,1030.1398061191835,955.5675438615108,861.6140946461545,946.112813632375
176,1150.8418645256047,1030.1385525349792,955.5651272321529,861.6094968791563,946.1100336768952
177,1150.8415729893234,1030.137415115122,955.562882051246,861.6051705108151,946.1074373215523
178,1150.8413386182108,1030.1363865633023,955.5607983917486,861.6011009365532,946.1050142000609
179,1150.8411573185326,1030.1354600363793,955.5588669153981,861.5972743784357,946.1027545520016
180,1150.8410252664064,1030.134629114515,955.5570788352023,861.5936778344421,946.1006491846365
181,1150.8409388893301,1030.1338877734302,955.5554258805197,861.5902990311231,946.0986894373374
182,1150.840894849064,1030.1332303586244,955.5539002645406,861.5871263794019,946.0968671484358
183,1150.8408880979193,1030.1326515614044,955.5524946539865,861.5841489332918,946.0951746243151
184,1150.8408909652655,1030.1321463965876,955.5512021408646,861.5813563513204,946.093604610582
185,1150.840905046678,1030.1317101817522,955.5500162161286,861.5787388604722,946.0921502651615
186,1150.8409567977792,1030.131338517918,955.5489307451033,861.5762872224664,946.0908051331826
187,1150.8410405714937,1030.131027271555,955.5479399445483,861.5739927022098,946.0895631235194
188,1150.8411539203996,1030.1307725578138,955.5470383612388,861.571847038272,946.0884184868743
189,1150.8412945558448,1030.130570724898,955.5462208519599,861.5698424152407,946.0873657952899
190,1150.8414603374677,1030.1304183394864,955.5454825648076,861.5679714378291,946.0863999229911
191,1150.8416492634522,1030.130312173132,955.5448189217102,861.566227106616,946.0855160284634
192,1150.8418594614618,1030.1302491895715,955.5442256020783,861.5646027953036,946.0847095376791
193,1150.8420891802011,1030.1302265328693,955.5436985275098,861.5630922293933,946.0839761283951
194,1150.8423367815583,1030.1302263962612,955.5432338474718,861.5616894661832,946.0833117154452
195,1150.842600733288,1030.1302264065039,955.5428279258946,861.5603888759968,946.0827124369616
196,1150.8428796021892,1030.1302264528344,955.5424773286153,861.5591851245634,946.0821746414586
197,1150.8431720477506,1030.1302266617433,955.5421788116114,861.5580731564711,946.0816948757234
198,1150.8434768162215,1030.1302276001554,955.5419293099704,861.557048179624,946.081269873458
199,1150.8437927350813,1030.1302317888103,955.541725927548,861.5561056506355,946.0808965446213
200,1150.8441187078797,1030.1302502484878,955.5415659272664,861.5552412610988,946.0805719654263
201,1150.8444537094203,1030.130307764508,955.5414467220111,861.5544509246763,946.0802933689477
202,1150.8447967812608,1030.1303974927835,955.5413658660847,861.5537307649539,946.0800581362989
203,1150.8451470275115,1030.1305172263196,955.5413210471845,861.5530771040148,946.0798637883448
204,1150.8455036109092,1030.130664887949,955.5413097020485,861.5524864516829,946.07970797791
205,1150.8458657491472,1030.1308385225398,955.5413099353234,861.5519554953943,946.0795884824538
206,1150.8462327114423,1030.1310362896975,955.5413108707735,861.5514810906604,946.0795031971832
207,1150.8466038153285,1030.1312564569334,955.5413145827932,861.5510602520798,946.0794501285698
208,1150.846978423651,1030.1314973932617,955.5413290880027,861.5506901448692,946.0794273882527
209,1150.8473559417587,1030.1317575632004,955.541377855002,861.5503680768794,946.0794262233494
210,1150.8477358148718,1030.132035521146,955.541454705346,861.5500914910665,946.0794262215644
211,1150.8481175256215,1030.1323299061,955.5415578840041,861.5498579583889,946.0794262220105
212,1150.8485005917405,1030.1326394367215,955.541685730664,861.5496651711079,946.0794262235945
213,1150.8488845639038,1030.1329629066836,955.5418366745065,861.5495109364625,946.0794262291238
214,1150.8492690237028,1030.1332991803158,955.542009229286,861.5493931706982,946.0794262495907
215,1150.8496535817474,1030.1336471885124,955.5422019886981,861.5493098934294,946.0794263252006
216,1150.8500378758856,1030.1340059248907,955.5424136220173,861.5492592223137,946.079426603951
217,1150.850421569536,1030.1343744421797,955.5426428699861,861.5492393680191,946.0794276286119
218,1150.850804350121,1030.1347518488285,955.5428885409424,861.5492389474099,946.0794313754919
219,1150.8511859275998,1030.1351373058167,955.5431495071676,861.549238949091,946.0794449371293
220,1150.851566033088,1030.1355300236569,955.5434247014447,861.5492389556988,946.0794889868658
221,1150.8519444175658,1030.135929259575,955.5437131138099,861.5492389818521,946.0795575769502
222,1150.8523208506635,1030.136334314857,955.5440137884915,861.5492390844963,946.0796492224551
223,1150.8526951195208,1030.136744532354,955.5443258210174,861.5492394840273,946.0797625160658
224,1150.853067027716,1030.1371592941316,955.5446483554892,861.549241025144,946.0798961239299
225,1150.8534363942595,1030.1375780192598,955.5449805820042,861.5492469011049,946.0800487817459
226,1150.8538030526504,1030.1380001617297,955.5453217342254,861.5492689165532,946.0802192910716
227,1150.854166849987,1030.1384252084918,955.5456710870825,861.549322032328,946.0804065158417
228,1150.854527646133,1030.138852677609,955.5460279546029,861.5494001787354,946.0806093790789
229,1150.8548853129323,1030.1392821165146,955.5463916878595,861.5495019393701,946.0808268597913
